Name	Type	Species	Height	Weight	Abilities	Local_Num	National_Num	Catch_Rate	EV_Yield	Base_Friendship	Base_Exp	Growth_Rate	Egg_Groups	Gender	Egg_Cycles	Stats	Total	Learnset
Goldeen	Water	Goldfish Pokemon	0.6	15.0	('Swift Swim', 'Water Veil', 'Lightning Rod')	{'G/S/C': 78, 'FR/LG': 118, 'HG/SS': 78, 'R/S/E': 50, 'OR/AS': 51, 'D/P': 78}	118	225	[0, 1, 0, 0, 0, 0]	50	64	Medium Fast	Water 2	(50.0, 50.0)	20	[45, 67, 60, 35, 50, 63]	320	[('Peck', 1), ('Tail Whip', 1), ('Water Sport', 1), ('Supersonic', 7), ('Horn Attack', 11), ('Water Pulse', 17), ('Flail', 21), ('Aqua Ring', 27), ('Fury Attack', 31), ('Waterfall', 37), ('Horn Drill', 41), ('Agility', 47), ('Megahorn', 51)]
Seaking	Water	Goldfish Pokemon	1.3	39.0	('Swift Swim', 'Water Veil', 'Lightning Rod')	{'G/S/C': 79, 'FR/LG': 119, 'HG/SS': 79, 'R/S/E': 51, 'OR/AS': 52, 'D/P': 79}	119	60	[0, 2, 0, 0, 0, 0]	50	158	Medium Fast	Water 2	(50.0, 50.0)	20	[80, 92, 65, 65, 80, 68]	450	[('Peck', 1), ('Poison Jab', 1), ('Supersonic', 1), ('Tail Whip', 1), ('Water Sport', 1), ('Supersonic', 7), ('Horn Attack', 11), ('Water Pulse', 17), ('Flail', 21), ('Aqua Ring', 27), ('Fury Attack', 31), ('Waterfall', 40), ('Horn Drill', 47), ('Agility', 56), ('Megahorn', 63)]
Staryu	Water	Star Shape Pokemon	0.8	34.5	('Illuminate', 'Natural Cure', 'Analytic')	{'R/B/Y': 120, 'G/S/C': 167, 'FR/LG': 120, 'HG/SS': 169, 'R/S/E': 143, 'OR/AS': 148, 'B2/W2': 238, 'B/W': 238, 'X/Y': 34, 'S/M': 184, 'US/UM': 223}	120	225	[0, 0, 0, 0, 0, 1]	50	68	Slow	Water 3		20	[30, 45, 55, 70, 55, 85]	340	[('Harden', 1), ('Tackle', 1), ('Water Gun', 6), ('Rapid Spin', 10), ('Recover', 15), ('Camouflage', 19), ('Swift', 24), ('Bubble Beam', 28), ('Minimize', 33), ('Gyro Ball', 37), ('Light Screen', 42), ('Power Gem', 46), ('Cosmic Power', 51), ('Hydro Pump', 55)]
Starmie	('Water', 'Psychic')	Mysterious Pokemon	1.1	80.0	('Illuminate', 'Natural Cure', 'Analytic')	{'R/B/Y': 121, 'G/S/C': 168, 'FR/LG': 121, 'HG/SS': 170, 'R/S/E': 144, 'OR/AS': 149, 'B2/W2': 239, 'B/W': 239, 'X/Y': 35, 'S/M': 185, 'US/UM': 224}	121	60	[0, 0, 0, 0, 0, 2]	50	182	Slow	Water 3		20	[60, 75, 85, 100, 85, 115]	520	[('Rapid Spin', 1), ('Recover', 1), ('Swift', 1), ('Water Gun', 1), ('Confuse Ray', 28)]
Mr-mime (Mr. Mime)	('Psychic', 'Fairy')	Barrier Pokemon	1.3	54.5	('Soundproof', 'Filter', 'Technician')	{'R/B/Y': 122, 'G/S/C': 156, 'FR/LG': 122, 'HG/SS': 158, 'D/P': 95}	122	45	[0, 0, 0, 0, 2, 0]	50	161	Medium Fast	Human-Like	(50.0, 50.0)	25	[40, 45, 65, 100, 120, 90]	460	[('Barrier', 1), ('Confusion', 1), ('Guard Swap', 1), ('Magical Leaf', 1), ('Power Swap', 1), ('Copycat', 4), ('Meditate', 8), ('Encore', 11), ('Double Slap', 15), ('Mimic', 18), ('Light Screen', 22), ('Reflect', 22), ('Psybeam', 25), ('Substitute', 29), ('Recycle', 32), ('Trick', 36), ('Psychic', 39), ('Role Play', 43), ('Baton Pass', 46), ('Safeguard', 50)]
Scyther	('Bug', 'Flying')	Mantis Pokemon	1.5	56.0	('Swarm', 'Technician', 'Steadfast')	{'R/B/Y': 123, 'G/S/C': 110, 'FR/LG': 123, 'HG/SS': 111, 'P': 195}	123	45	[0, 1, 0, 0, 0, 0]	50	100	Medium Fast	Bug	(50.0, 50.0)	25	[70, 110, 80, 55, 80, 105]	500	[('Leer', 1), ('Quick Attack', 1), ('Focus Energy', 5), ('Pursuit', 9), ('False Swipe', 13), ('Agility', 17), ('Wing Attack', 21), ('Fury Cutter', 25), ('Slash', 29), ('Razor Wind', 33), ('Double Team', 37), ('X -Scissor', 41), ('Night Slash', 45), ('Double Hit', 49), ('Air Slash', 53), ('Swords Dance', 57)]
Jynx	('Ice', 'Psychic')	Human Shape Pokemon	1.4	40.6	('Oblivious', 'Forewarn', 'Dry Skin')	{'R/B/Y': 124, 'G/S/C': 153, 'FR/LG': 124, 'HG/SS': 155, 'X/Y': 84, 'US/UM': 110}	124	45	[0, 0, 0, 2, 0, 0]	50	159	Medium Fast	Human-Like	(0.0, 100.0)	25	[65, 50, 35, 115, 95, 95]	455	[('Lick', 1), ('Lovely Kiss', 1), ('Pound', 1), ('Powder Snow', 1), ('Lick', 5), ('Lovely Kiss', 8), ('Powder Snow', 11), ('Double Slap', 15), ('Ice Punch', 18), ('Mean Look', 21), ('Fake Tears', 25), ('Wake -Up Slap', 28), ('Avalanche', 33), ('Body Slam', 39), ('Wring Out', 44), ('Perish Song', 49), ('Blizzard', 55)]
Electabuzz	Electric	Electric Pokemon	1.1	30.0	('Static', 'Vital Spirit')	{'R/B/Y': 125, 'G/S/C': 155, 'FR/LG': 125, 'HG/SS': 157, 'P': 198}	125	45	[0, 0, 0, 0, 0, 2]	50	172	Medium Fast	Human-Like	(75.0, 25.0)	25	[65, 83, 57, 95, 85, 105]	490	[('Leer', 1), ('Quick Attack', 1), ('Thunder Shock', 1), ('Thunder Shock', 7), ('Low Kick', 10), ('Swift', 16), ('Shock Wave', 19), ('Light Screen', 25), ('Thunder Punch', 28), ('Discharge', 37), ('Thunderbolt', 43), ('Screech', 52), ('Thunder', 58)]
Magmar	Fire	Spitfire Pokemon	1.3	44.5	('Flame Body', 'Vital Spirit')	{'R/B/Y': 126, 'G/S/C': 151, 'FR/LG': 126, 'HG/SS': 153, 'P': 201}	126	45	[0, 0, 0, 2, 0, 0]	50	173	Medium Fast	Human-Like	(75.0, 25.0)	25	[65, 95, 57, 100, 85, 93]	495	[('Ember', 1), ('Leer', 1), ('Smog', 1), ('Ember', 7), ('Smoke Screen', 10), ('Faint Attack', 16), ('Fire Spin', 19), ('Confuse Ray', 25), ('Fire Punch', 28), ('Lava Plume', 36), ('Flamethrower', 41), ('Sunny Day', 49), ('Fire Blast', 54)]
Pinsir	Bug	Stag Beetle Pokemon	1.5	55.0	('Hyper Cutter', 'Mold Breaker', 'Moxie')	{'R/B/Y': 127, 'G/S/C': 112, 'FR/LG': 127, 'HG/SS': 113, 'R/S/E': 167, 'OR/AS': 174, 'B2/W2': 146, 'B/W': 146, 'X/Y': 130, 'S/M': 175, 'US/UM': 211}	127	45	[0, 2, 0, 0, 0, 0]	50	175	Slow	Bug	(50.0, 50.0)	25	[65, 125, 100, 55, 70, 85]	500	[('Focus Energy', 1), ('Vice Grip', 1), ('Bind', 4), ('Seismic Toss', 8), ('Harden', 13), ('Revenge', 18), ('Brick Break', 21), ('Vital Throw', 25), ('X -Scissor', 30), ('Thrash', 35), ('Swords Dance', 38), ('Submission', 42), ('Guillotine', 47), ('Superpower', 52)]
Mega Pinsir	('Bug', 'Flying')	Stag Beetle Pokemon	1.7	59.0	('Aerilate', '')	{'R/B/Y': 127, 'G/S/C': 112, 'FR/LG': 127, 'HG/SS': 113, 'R/S/E': 167, 'OR/AS': 174, 'B2/W2': 146, 'B/W': 146, 'X/Y': 130, 'S/M': 175, 'US/UM': 211}	127	45	[0, 2, 0, 0, 0, 0]	50	210	Slow	Bug	(50.0, 50.0)	25	[65, 155, 120, 65, 90, 105]	600	[('Focus Energy', 1), ('Vice Grip', 1), ('Bind', 4), ('Seismic Toss', 8), ('Harden', 13), ('Revenge', 18), ('Brick Break', 21), ('Vital Throw', 25), ('X -Scissor', 30), ('Thrash', 35), ('Swords Dance', 38), ('Submission', 42), ('Guillotine', 47), ('Superpower', 52)]
Tauros	Normal	Wild Bull Pokemon	1.4	88.4	('Intimidate', 'Anger Point', 'Sheer Force')	{'R/B/Y': 128, 'G/S/C': 148, 'FR/LG': 128, 'HG/SS': 150, 'X/Y': 125, 'S/M': 137, 'US/UM': 170}	128	45	[0, 1, 0, 0, 0, 1]	50	172	Slow	Field	(100.0, 0.0)	20	[75, 100, 95, 40, 70, 110]	490	[('Tackle', 1), ('Tail Whip', 3), ('Rage', 5), ('Horn Attack', 8), ('Scary Face', 11), ('Pursuit', 15), ('Rest', 19), ('Payback', 24), ('Zen Headbutt', 29), ('Take Down', 35), ('Swagger', 41), ('Thrash', 48), ('Giga Impact', 55)]
Magikarp	Water	Fish Pokemon	0.9	10.0	('Swift Swim', 'Rattled')	{'G/S/C': 76, 'FR/LG': 129, 'HG/SS': 76, 'R/S/E': 52, 'OR/AS': 53, 'D/P': 23}	129	255	[0, 0, 0, 0, 0, 1]	50	40	Slow	('Dragon', 'Water 2')	(50.0, 50.0)	5	[20, 10, 55, 15, 20, 80]	200	[('Splash', 1), ('Tackle', 15), ('Flail', 30)]
Gyarados	('Water', 'Flying')	Atrocious Pokemon	6.5	235.0	('Intimidate', 'Moxie')	{'G/S/C': 77, 'FR/LG': 130, 'HG/SS': 77, 'R/S/E': 53, 'OR/AS': 54, 'D/P': 24}	130	45	[0, 2, 0, 0, 0, 0]	50	189	Slow	('Dragon', 'Water 2')	(50.0, 50.0)	5	[95, 125, 79, 60, 100, 81]	540	[('Thrash', 1), ('Bite', 20), ('Dragon Rage', 23), ('Leer', 26), ('Twister', 29), ('Ice Fang', 32), ('Aqua Tail', 35), ('Rain Dance', 38), ('Hydro Pump', 41), ('Dragon Dance', 44), ('Hyper Beam', 47)]
Mega Gyarados	('Water', 'Dark')	Atrocious Pokemon	6.5	305.0	('Mold Breaker', '')	{'G/S/C': 77, 'FR/LG': 130, 'HG/SS': 77, 'R/S/E': 53, 'OR/AS': 54, 'D/P': 24}	130	45	[0, 2, 0, 0, 0, 0]	50	224	Slow	('Dragon', 'Water 2')	(50.0, 50.0)	5	[95, 155, 109, 70, 130, 81]	640	[('Thrash', 1), ('Bite', 20), ('Dragon Rage', 23), ('Leer', 26), ('Twister', 29), ('Ice Fang', 32), ('Aqua Tail', 35), ('Rain Dance', 38), ('Hydro Pump', 41), ('Dragon Dance', 44), ('Hyper Beam', 47)]
Lapras	('Water', 'Ice')	Transport Pokemon	2.5	220.0	('Water Absorb', 'Shell Armor', 'Hydration')	{'R/B/Y': 131, 'G/S/C': 219, 'FR/LG': 131, 'HG/SS': 224, 'B2/W2': 242, 'B/W': 242, 'X/Y': 150, 'S/M': 268, 'US/UM': 353, 'S/S': 361}	131	45	[2, 0, 0, 0, 0, 0]	50	187	Slow	('Monster', 'Water 1')	(50.0, 50.0)	40	[130, 85, 80, 85, 95, 60]	535	[('Growl', 1), ('Sing', 1), ('Water Gun', 1), ('Mist', 4), ('Confuse Ray', 7), ('Ice Shard', 10), ('Water Pulse', 14), ('Body Slam', 18), ('Rain Dance', 22), ('Perish Song', 27), ('Ice Beam', 32), ('Brine', 37), ('Safeguard', 43), ('Hydro Pump', 49), ('Sheer Cold', 55)]
Ditto	Normal	Transform Pokemon	0.3	4.0	('Limber', 'Imposter')	{'R/B/Y': 132, 'G/S/C': 92, 'FR/LG': 132, 'HG/SS': 92, 'B2/W2': 261, 'B/W': 261, 'X/Y': 138, 'S/M': 209, 'US/UM': 271, 'S/S': 373}	132	35	[1, 0, 0, 0, 0, 0]	50	101	Medium Fast	Ditto		20	[48, 48, 48, 48, 48, 48]	288	[('Transform', 1)]
Eevee	Normal	Evolution Pokemon	0.3	6.5	('Run Away', 'Adaptability', 'Anticipation')	{'R/B/Y': 133, 'G/S/C': 180, 'FR/LG': 133, 'HG/SS': 184, 'P': 163}	133	45	[0, 0, 0, 0, 1, 0]	50	65	Medium Fast	Field	(87.5, 12.5)	35	[55, 55, 50, 45, 65, 55]	325	[('Helping Hand', 1), ('Tackle', 1), ('Tail Whip', 1), ('Sand -Attack', 8), ('Growl', 15), ('Quick Attack', 22), ('Bite', 29), ('Baton Pass', 36), ('Take Down', 43), ('Last Resort', 50), ('Trump Card', 57)]
Partner Eevee	Normal	Evolution Pokemon	0.3	6.5	('—', '')	{'R/B/Y': 133, 'G/S/C': 180, 'FR/LG': 133, 'HG/SS': 184, 'P': 163}	133	45	[0, 0, 0, 0, 1, 0]	50	65	Medium Fast	—	(87.5, 12.5)	35	[65, 75, 70, 65, 85, 75]	435	[('Helping Hand', 1), ('Tackle', 1), ('Tail Whip', 1), ('Sand -Attack', 8), ('Growl', 15), ('Quick Attack', 22), ('Bite', 29), ('Baton Pass', 36), ('Take Down', 43), ('Last Resort', 50), ('Trump Card', 57)]
Vaporeon	Water	Bubble Jet Pokemon	1.0	29.0	('Water Absorb', 'Hydration')	{'R/B/Y': 134, 'G/S/C': 181, 'FR/LG': 134, 'HG/SS': 185, 'P': 164}	134	45	[2, 0, 0, 0, 0, 0]	50	184	Medium Fast	Field	(87.5, 12.5)	35	[130, 65, 60, 110, 95, 65]	525	[('Helping Hand', 1), ('Tackle', 1), ('Tail Whip', 1), ('Sand -Attack', 8), ('Water Gun', 15), ('Quick Attack', 22), ('Bite', 29), ('Aurora Beam', 36), ('Aqua Ring', 43), ('Last Resort', 50), ('Haze', 57), ('Acid Armor', 64), ('Hydro Pump', 71)]
Jolteon	Electric	Lightning Pokemon	0.8	24.5	('Volt Absorb', 'Quick Feet')	{'R/B/Y': 135, 'G/S/C': 182, 'FR/LG': 135, 'HG/SS': 186, 'P': 165}	135	45	[0, 0, 0, 0, 0, 2]	50	184	Medium Fast	Field	(87.5, 12.5)	35	[65, 65, 60, 110, 95, 130]	525	[('Helping Hand', 1), ('Tackle', 1), ('Tail Whip', 1), ('Sand -Attack', 8), ('Thunder Shock', 15), ('Quick Attack', 22), ('Double Kick', 29), ('Pin Missile', 36), ('Thunder Fang', 43), ('Last Resort', 50), ('Thunder Wave', 57), ('Agility', 64), ('Thunder', 71)]
Flareon	Fire	Flame Pokemon	0.9	25.0	('Flash Fire', 'Guts')	{'R/B/Y': 136, 'G/S/C': 183, 'FR/LG': 136, 'HG/SS': 187, 'P': 166}	136	45	[0, 2, 0, 0, 0, 0]	50	184	Medium Fast	Field	(87.5, 12.5)	35	[65, 130, 60, 95, 110, 65]	525	[('Helping Hand', 1), ('Tackle', 1), ('Tail Whip', 1), ('Sand -Attack', 8), ('Ember', 15), ('Quick Attack', 22), ('Bite', 29), ('Fire Spin', 36), ('Fire Fang', 43), ('Last Resort', 50), ('Smog', 57), ('Scary Face', 64), ('Fire Blast', 71)]
Porygon	Normal	Virtual Pokemon	0.8	36.5	('Trace', 'Download', 'Analytic')	{'R/B/Y': 137, 'G/S/C': 215, 'FR/LG': 137, 'HG/SS': 220, 'P': 192}	137	45	[0, 0, 0, 1, 0, 0]	50	79	Medium Fast	Mineral		20	[65, 60, 70, 85, 75, 40]	395	[('Conversion', 1), ('Conversion 2', 1), ('Sharpen', 1), ('Tackle', 1), ('Psybeam', 7), ('Agility', 12), ('Recover', 18), ('Magnet Rise', 23), ('Signal Beam', 29), ('Recycle', 34), ('Discharge', 40), ('Lock -On', 45), ('Tri Attack', 51), ('Magic Coat', 56), ('Zap Cannon', 62)]
Omanyte	('Rock', 'Water')	Spiral Pokemon	0.4	7.5	('Swift Swim', 'Shell Armor', 'Weak Armor')	{'R/B/Y': 138, 'G/S/C': 220, 'FR/LG': 138, 'HG/SS': 225, 'US/UM': 227}	138	45	[0, 0, 1, 0, 0, 0]	50	71	Medium Fast	('Water 1', 'Water 3')	(87.5, 12.5)	30	[35, 40, 100, 90, 55, 35]	355	[('Constrict', 1), ('Withdraw', 1), ('Bite', 7), ('Water Gun', 10), ('Rollout', 16), ('Leer', 19), ('Mud Shot', 25), ('Brine', 28), ('Protect', 34), ('Ancient Power', 37), ('Tickle', 43), ('Rock Blast', 46), ('Hydro Pump', 52)]
Omastar	('Rock', 'Water')	Spiral Pokemon	1.0	35.0	('Swift Swim', 'Shell Armor', 'Weak Armor')	{'R/B/Y': 139, 'G/S/C': 221, 'FR/LG': 139, 'HG/SS': 226, 'US/UM': 228}	139	45	[0, 0, 2, 0, 0, 0]	50	173	Medium Fast	('Water 1', 'Water 3')	(87.5, 12.5)	30	[70, 60, 125, 115, 70, 55]	495	[('Bite', 1), ('Constrict', 1), ('Withdraw', 1), ('Bite', 7), ('Water Gun', 10), ('Rollout', 16), ('Leer', 19), ('Mud Shot', 25), ('Brine', 28), ('Protect', 34), ('Ancient Power', 37), ('Spike Cannon', 40), ('Tickle', 48), ('Rock Blast', 56), ('Hydro Pump', 67)]
Kabuto	('Rock', 'Water')	Shellfish Pokemon	0.5	11.5	('Swift Swim', 'Battle Armor', 'Weak Armor')	{'R/B/Y': 140, 'G/S/C': 222, 'FR/LG': 140, 'HG/SS': 227, 'US/UM': 229}	140	45	[0, 0, 1, 0, 0, 0]	50	71	Medium Fast	('Water 1', 'Water 3')	(87.5, 12.5)	30	[30, 80, 90, 55, 45, 55]	355	[('Harden', 1), ('Scratch', 1), ('Absorb', 6), ('Leer', 11), ('Mud Shot', 16), ('Sand -Attack', 21), ('Endure', 26), ('Aqua Jet', 31), ('Mega Drain', 36), ('Metal Sound', 41), ('Ancient Power', 46), ('Wring Out', 51)]
Kabutops	('Rock', 'Water')	Shellfish Pokemon	1.3	40.5	('Swift Swim', 'Battle Armor', 'Weak Armor')	{'R/B/Y': 141, 'G/S/C': 223, 'FR/LG': 141, 'HG/SS': 228, 'US/UM': 230}	141	45	[0, 2, 0, 0, 0, 0]	50	173	Medium Fast	('Water 1', 'Water 3')	(87.5, 12.5)	30	[60, 115, 105, 65, 70, 80]	495	[('Absorb', 1), ('Harden', 1), ('Scratch', 1), ('Absorb', 6), ('Leer', 11), ('Mud Shot', 16), ('Sand -Attack', 21), ('Endure', 26), ('Aqua Jet', 31), ('Mega Drain', 36), ('Slash', 40), ('Metal Sound', 45), ('Ancient Power', 54), ('Wring Out', 63), ('Night Slash', 72)]
Aerodactyl	('Rock', 'Flying')	Fossil Pokemon	1.8	59.0	('Rock Head', 'Pressure', 'Unnerve')	{'R/B/Y': 142, 'G/S/C': 224, 'FR/LG': 142, 'HG/SS': 229, 'X/Y': 68, 'S/M': 284, 'US/UM': 382}	142	45	[0, 0, 0, 0, 0, 2]	50	180	Slow	Flying	(87.5, 12.5)	35	[80, 105, 65, 60, 75, 130]	515	[('Bite', 1), ('Fire Fang', 1), ('Ice Fang', 1), ('Scary Face', 1), ('Supersonic', 1), ('Thunder Fang', 1), ('Wing Attack', 1), ('Roar', 9), ('Agility', 17), ('Ancient Power', 25), ('Crunch', 33), ('Take Down', 41), ('Iron Head', 49), ('Hyper Beam', 57), ('Rock Slide', 65), ('Giga Impact', 73)]
Mega Aerodactyl	('Rock', 'Flying')	Fossil Pokemon	2.1	79.0	('Tough Claws', '')	{'R/B/Y': 142, 'G/S/C': 224, 'FR/LG': 142, 'HG/SS': 229, 'X/Y': 68, 'S/M': 284, 'US/UM': 382}	142	45	[0, 0, 0, 0, 0, 2]	50	215	Slow	Flying	(87.5, 12.5)	35	[80, 135, 85, 70, 95, 150]	615	[('Bite', 1), ('Fire Fang', 1), ('Ice Fang', 1), ('Scary Face', 1), ('Supersonic', 1), ('Thunder Fang', 1), ('Wing Attack', 1), ('Roar', 9), ('Agility', 17), ('Ancient Power', 25), ('Crunch', 33), ('Take Down', 41), ('Iron Head', 49), ('Hyper Beam', 57), ('Rock Slide', 65), ('Giga Impact', 73)]
Snorlax	Normal	Sleeping Pokemon	2.1	460.0	('Immunity', 'Thick Fat', 'Gluttony')	{'R/B/Y': 143, 'G/S/C': 225, 'FR/LG': 143, 'HG/SS': 230, 'D/P': 113}	143	25	[2, 0, 0, 0, 0, 0]	50	189	Slow	Monster	(87.5, 12.5)	40	[160, 110, 65, 65, 110, 30]	540	[('Tackle', 1), ('Defense Curl', 4), ('Amnesia', 9), ('Lick', 12), ('Belly Drum', 17), ('Yawn', 20), ('Rest', 25), ('Sleep Talk', 28), ('Snore', 28), ('Body Slam', 33), ('Block', 36), ('Rollout', 41), ('Crunch', 44), ('Giga Impact', 49)]
Articuno	('Ice', 'Flying')	Freeze Pokemon	1.7	55.4	('Pressure', 'Snow Cloak')	{'R/B/Y': 144, 'G/S/C': 235, 'FR/LG': 144, 'HG/SS': 240, 'X/Y': 151}	144	3	[0, 0, 0, 0, 3, 0]	35	261	Slow	Undiscovered		80	[90, 85, 100, 95, 125, 85]	580	[('Gust', 1), ('Powder Snow', 1), ('Mist', 8), ('Ice Shard', 15), ('Mind Reader', 22), ('Ancient Power', 29), ('Agility', 36), ('Ice Beam', 43), ('Reflect', 50), ('Roost', 57), ('Tailwind', 64), ('Blizzard', 71), ('Sheer Cold', 78), ('Hail', 85)]
Galarian Articuno	('Psychic', 'Flying')	Cruel Pokemon	1.7	50.9	('Competitive', '')	{'R/B/Y': 144, 'G/S/C': 235, 'FR/LG': 144, 'HG/SS': 240, 'X/Y': 151}	144	3	[0, 0, 0, 3, 0, 0]	35	290	Slow	Undiscovered		120	[90, 85, 85, 125, 100, 95]	580	[('Gust', 1), ('Powder Snow', 1), ('Mist', 8), ('Ice Shard', 15), ('Mind Reader', 22), ('Ancient Power', 29), ('Agility', 36), ('Ice Beam', 43), ('Reflect', 50), ('Roost', 57), ('Tailwind', 64), ('Blizzard', 71), ('Sheer Cold', 78), ('Hail', 85)]
Zapdos	('Electric', 'Flying')	Electric Pokemon	1.6	52.6	('Pressure', 'Static')	{'R/B/Y': 145, 'G/S/C': 236, 'FR/LG': 145, 'HG/SS': 241, 'X/Y': 152}	145	3	[0, 0, 0, 3, 0, 0]	35	261	Slow	Undiscovered		80	[90, 90, 85, 125, 90, 100]	580	[('Peck', 1), ('Thunder Shock', 1), ('Thunder Wave', 8), ('Detect', 15), ('Pluck', 22), ('Ancient Power', 29), ('Charge', 36), ('Agility', 43), ('Discharge', 50), ('Roost', 57), ('Light Screen', 64), ('Drill Peck', 71), ('Thunder', 78), ('Rain Dance', 85)]
Galarian Zapdos	('Fighting', 'Flying')	Strong Legs Pokemon	1.6	58.2	('Defiant', '')	{'R/B/Y': 145, 'G/S/C': 236, 'FR/LG': 145, 'HG/SS': 241, 'X/Y': 152}	145	3	[0, 3, 0, 0, 0, 0]	35	290	Slow	Undiscovered		120	[90, 125, 90, 85, 90, 100]	580	[('Peck', 1), ('Thunder Shock', 1), ('Thunder Wave', 8), ('Detect', 15), ('Pluck', 22), ('Ancient Power', 29), ('Charge', 36), ('Agility', 43), ('Discharge', 50), ('Roost', 57), ('Light Screen', 64), ('Drill Peck', 71), ('Thunder', 78), ('Rain Dance', 85)]
Moltres	('Fire', 'Flying')	Flame Pokemon	2.0	60.0	('Pressure', 'Flame Body')	{'R/B/Y': 146, 'G/S/C': 237, 'FR/LG': 146, 'HG/SS': 242, 'X/Y': 153}	146	3	[0, 0, 0, 3, 0, 0]	35	261	Slow	Undiscovered		80	[90, 100, 90, 125, 85, 90]	580	[('Ember', 1), ('Wing Attack', 1), ('Fire Spin', 8), ('Agility', 15), ('Endure', 22), ('Ancient Power', 29), ('Flamethrower', 36), ('Safeguard', 43), ('Air Slash', 50), ('Roost', 57), ('Heat Wave', 64), ('Solar Beam', 71), ('Sky Attack', 78), ('Sunny Day', 85)]
Galarian Moltres	('Dark', 'Flying')	Malevolent Pokemon	2.0	66.0	('Berserk', '')	{'R/B/Y': 146, 'G/S/C': 237, 'FR/LG': 146, 'HG/SS': 242, 'X/Y': 153}	146	3	[0, 0, 0, 0, 3, 0]	35	290	Slow	Undiscovered		120	[90, 85, 90, 100, 125, 90]	580	[('Ember', 1), ('Wing Attack', 1), ('Fire Spin', 8), ('Agility', 15), ('Endure', 22), ('Ancient Power', 29), ('Flamethrower', 36), ('Safeguard', 43), ('Air Slash', 50), ('Roost', 57), ('Heat Wave', 64), ('Solar Beam', 71), ('Sky Attack', 78), ('Sunny Day', 85)]
Dratini	Dragon	Dragon Pokemon	1.8	3.3	('Shed Skin', 'Marvel Scale')	{'R/B/Y': 147, 'G/S/C': 241, 'FR/LG': 147, 'HG/SS': 246, 'X/Y': 145, 'S/M': 281, 'US/UM': 379}	147	45	[0, 1, 0, 0, 0, 0]	35	60	Slow	('Dragon', 'Water 1')	(50.0, 50.0)	40	[41, 64, 45, 50, 50, 50]	300	[('Leer', 1), ('Wrap', 1), ('Thunder Wave', 5), ('Twister', 11), ('Dragon Rage', 15), ('Slam', 21), ('Agility', 25), ('Aqua Tail', 31), ('Dragon Rush', 35), ('Safeguard', 41), ('Dragon Dance', 45), ('Outrage', 51), ('Hyper Beam', 55)]
Dragonair	Dragon	Dragon Pokemon	4.0	16.5	('Shed Skin', 'Marvel Scale')	{'R/B/Y': 148, 'G/S/C': 242, 'FR/LG': 148, 'HG/SS': 247, 'X/Y': 146, 'S/M': 282, 'US/UM': 380}	148	45	[0, 2, 0, 0, 0, 0]	35	147	Slow	('Dragon', 'Water 1')	(50.0, 50.0)	40	[61, 84, 65, 70, 70, 70]	420	[('Leer', 1), ('Thunder Wave', 1), ('Twister', 1), ('Wrap', 1), ('Thunder Wave', 5), ('Twister', 11), ('Dragon Rage', 15), ('Slam', 21), ('Agility', 25), ('Aqua Tail', 33), ('Dragon Rush', 39), ('Safeguard', 47), ('Dragon Dance', 53), ('Outrage', 61), ('Hyper Beam', 67)]
Dragonite	('Dragon', 'Flying')	Dragon Pokemon	2.2	210.0	('Inner Focus', 'Multiscale')	{'R/B/Y': 149, 'G/S/C': 243, 'FR/LG': 149, 'HG/SS': 248, 'X/Y': 147, 'S/M': 283, 'US/UM': 381}	149	45	[0, 3, 0, 0, 0, 0]	35	270	Slow	('Dragon', 'Water 1')	(50.0, 50.0)	40	[91, 134, 95, 100, 100, 80]	600	[('Fire Punch', 1), ('Leer', 1), ('Roost', 1), ('Thunder Punch', 1), ('Thunder Wave', 1), ('Twister', 1), ('Wrap', 1), ('Thunder Wave', 5), ('Twister', 11), ('Dragon Rage', 15), ('Slam', 21), ('Agility', 25), ('Aqua Tail', 33), ('Dragon Rush', 39), ('Safeguard', 47), ('Dragon Dance', 53), ('Wing Attack', 55), ('Outrage', 64), ('Hyper Beam', 73)]
Mewtwo	Psychic	Genetic Pokemon	2.0	122.0	('Pressure', 'Unnerve')	{'R/B/Y': 150, 'G/S/C': 249, 'FR/LG': 150, 'HG/SS': 254, 'X/Y': 151}	150	3	[0, 0, 0, 3, 0, 0]	0	306	Slow	Undiscovered		120	[106, 110, 90, 154, 90, 130]	680	[('Confusion', 1), ('Disable', 1), ('Barrier', 8), ('Swift', 15), ('Future Sight', 22), ('Psych Up', 29), ('Miracle Eye', 36), ('Mist', 43), ('Psycho Cut', 50), ('Amnesia', 57), ('Guard Swap', 64), ('Power Swap', 64), ('Psychic', 71), ('Me First', 79), ('Recover', 86), ('Safeguard', 93), ('Aura Sphere', 100)]
